communityname,state,countyCode,communityCode,fold,population,householdsize,racepctblack,racePctWhite,racePctAsian,racePctHisp,agePct12t21,agePct12t29,agePct16t24,agePct65up,numbUrban,pctUrban,medIncome,pctWWage,pctWFarmSelf,pctWInvInc,pctWSocSec,pctWPubAsst,pctWRetire,medFamInc,perCapInc,whitePerCap,blackPerCap,indianPerCap,AsianPerCap,OtherPerCap,HispPerCap,NumUnderPov,PctPopUnderPov,PctLess9thGrade,PctNotHSGrad,PctBSorMore,PctUnemployed,PctEmploy,PctEmplManu,PctEmplProfServ,PctOccupManu,PctOccupMgmtProf,MalePctDivorce,MalePctNevMarr,FemalePctDiv,TotalPctDiv,PersPerFam,PctFam2Par,PctKids2Par,PctYoungKids2Par,PctTeen2Par,PctWorkMomYoungKids,PctWorkMom,NumKidsBornNeverMar,PctKidsBornNeverMar,NumImmig,PctImmigRecent,PctImmigRec5,PctImmigRec8,PctImmigRec10,PctRecentImmig,PctRecImmig5,PctRecImmig8,PctRecImmig10,PctSpeakEnglOnly,PctNotSpeakEnglWell,PctLargHouseFam,PctLargHouseOccup,PersPerOccupHous,PersPerOwnOccHous,PersPerRentOccHous,PctPersOwnOccup,PctPersDenseHous,PctHousLess3BR,MedNumBR,HousVacant,PctHousOccup,PctHousOwnOcc,PctVacantBoarded,PctVacMore6Mos,MedYrHousBuilt,PctHousNoPhone,PctWOFullPlumb,OwnOccLowQuart,OwnOccMedVal,OwnOccHiQuart,OwnOccQrange,RentLowQ,RentMedian,RentHighQ,RentQrange,MedRent,MedRentPctHousInc,MedOwnCostPctInc,MedOwnCostPctIncNoMtg,NumInShelters,NumStreet,PctForeignBorn,PctBornSameState,PctSameHouse85,PctSameCity85,PctSameState85,LemasSwornFT,LemasSwFTPerPop,LemasSwFTFieldOps,LemasSwFTFieldPerPop,LemasTotalReq,LemasTotReqPerPop,PolicReqPerOffic,PolicPerPop,RacialMatchCommPol,PctPolicWhite,PctPolicBlack,PctPolicHisp,PctPolicAsian,PctPolicMinor,OfficAssgnDrugUnits,NumKindsDrugsSeiz,PolicAveOTWorked,LandArea,PopDens,PctUsePubTrans,PolicCars,PolicOperBudg,LemasPctPolicOnPatr,LemasGangUnitDeploy,LemasPctOfficDrugUn,PolicBudgPerPop,murders,murdPerPop,rapes,rapesPerPop,robberies,robbbPerPop,assaults,assaultPerPop,burglaries,burglPerPop,larcenies,larcPerPop,autoTheft,autoTheftPerPop,arsons,arsonsPerPop,ViolentCrimesPerPop,nonViolPerPop
Wheatoncity,IL,?,?,1,51464,2.9,2.53,92.97,3.78,2.04,15.12,26.56,13.98,8.11,51464,100,52208,88.99,0.96,65.08,17.33,1.94,11.43,60709,22433,22966,14063,29209,16808,10699,14770,2494,5.12,3.52,7.8,49.38,2.42,70.3,15.33,31.86,5.38,44.93,5.4,30.22,9.02,7.31,3.21,87.46,87.61,95.25,85.32,59.06,67.26,229,0.68,3320,17.08,22.59,32.71,41.23,1.1,1.46,2.11,2.66,90.94,1.15,4.34,3.37,2.74,2.93,2.19,79.69,1.32,33.72,3,860,95.38,74.54,0.23,18.6,1971,0.43,0.09,115600,148700,203500,87900,483,590,701,218,646,26.8,22.3,12.1,0,0,6.45,58.52,46.01,71.51,83.26,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,11.5,4486.1,9.74,?,?,?,?,0,?,0,0,?,?,9,16.62,24,44.33,220,406.32,1050,1939.24,24,44.33,3,5.54,?,2395.42
WhiteLaketownship,MI,125,86860,1,22608,2.91,0.69,98.03,0.43,1.3,14.36,26.88,12.39,6.34,18750,82.94,42549,87.81,0.98,44.73,17.54,5.63,13.94,46578,16750,16833,8975,12763,21196,11203,10504,968,4.36,3.75,16.57,16.76,6.2,67.54,24.3,20.98,14.48,24.36,9.43,26.86,12.04,10.75,3.22,82.93,80.98,92.8,79.86,64.5,71.03,410,2.64,464,8.84,8.84,10.13,11.85,0.18,0.18,0.21,0.24,96.45,0.23,4.46,3.6,2.87,2.91,2.53,90.45,2.06,32.43,3,491,94.06,89.13,0.61,47.66,1970,1.57,0.1,71800,97000,132100,60300,364,457,533,169,543,23.8,17.9,12.9,0,0,2.05,84.3,57.66,87.87,96.67,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,34.8,648.8,0.18,?,?,?,?,0,?,0,0,?,?,3,12.92,61,262.61,157,675.91,618,2660.58,47,202.34,9,38.75,?,3577.58
Chickashacity,OK,?,?,1,14988,2.49,9.78,84.1,0.45,2.48,13.84,25.38,12.24,16.31,0,0,18357,65.73,1.51,34.3,33.51,10.04,16.92,22964,10377,11003,6042,8782,31548,4075,3774,3325,23.15,13.83,33.47,18.06,9.5,51.29,16.2,30.48,17.19,24.54,11.61,22.62,14.36,13.15,2.98,68.5,64.73,77.13,69.49,60.79,69.09,357,2.65,191,14.66,17.28,22.51,32.98,0.19,0.22,0.29,0.42,96.64,0.29,3.68,2.46,2.39,2.37,2.43,65.84,2.43,51.03,2,1038,85.28,66.47,6.94,67.73,1957,13.73,0.09,23400,38000,56100,32700,158,224,282,124,303,26.9,20.9,12.6,17,0,1.27,71.55,50.54,81.53,93.34,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,14.2,1057.3,0,?,?,?,?,0,?,4,26.23,11,72.14,15,98.37,143,937.77,289,1895.21,458,3003.48,53,347.56,7,45.9,1134.5,5292.15
Tucsoncity,AZ,?,?,1,405390,2.49,4.28,75.25,2.2,29.25,15.91,31.47,16.94,11.34,405312,99.98,21748,76.14,0.59,36.28,25.85,6.58,16.38,27208,11184,12560,9268,6689,7745,6272,7160,79287,20.16,9.36,21.39,20.71,8.12,58.52,9.49,28.85,10.35,26.28,11.94,36.79,16.19,14.15,3.1,65.86,61.93,74.97,68.55,61.52,68.39,12404,4.29,43397,18.97,28.48,35.61,44.27,2.03,3.05,3.81,4.74,72.89,4.14,6.32,3.82,2.42,2.59,2.24,55.14,7.3,62.99,2,20653,88.74,51.44,2.07,22.06,1971,6.88,0.38,52200,66800,85600,33400,260,327,406,146,377,29.6,21.7,12.5,437,102,10.71,34.8,41.54,73.61,79.3,745,165.56,685,152.23,516410,114762.6,693.2,165.6,99.01,75.57,3.09,20,0.67,23.76,30,9,117.3,161.9,2503.8,4.29,497,46229100,91.95,5,4.03,102735.7,44,9.78,314,69.78,894,198.68,3111,691.36,7363,1636.29,32076,7128.3,5143,1142.94,162,36,969.6,9943.53
Gallowaytownship,NJ,1,25560,1,23330,2.94,7.36,88.58,2.67,3.69,17.84,34.05,18.86,6.76,14937,64.02,41944,87.6,0.57,36.52,18.29,3.11,12.87,45986,16302,16234,17942,15871,16840,10114,12351,927,4.35,5.04,18.12,20.42,4.1,69.92,5.53,17.93,9.45,23.81,8.22,36.33,10.33,9.3,3.13,79.01,75.91,88.27,78.78,63.41,71.3,330,2.48,970,6.08,13.09,25.46,28.87,0.25,0.54,1.06,1.2,90.82,1,4.35,3.14,2.69,2.8,2.45,71.76,2.19,47.98,3,932,89.49,68.94,0.86,38.3,1982,1.68,0.42,86200,111300,142800,56600,548,619,675,127,727,24.3,23.1,12.8,0,0,4.16,62.31,40.26,66.89,88.65,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,93.6,249.1,1.66,?,?,?,?,0,?,1,4.19,5,20.94,10,41.87,44,184.24,266,1113.81,557,2332.3,46,192.61,7,29.31,251.24,3668.03
Sweetwatercity,TX,?,?,1,11967,2.62,5.57,73.69,0.15,28.98,14.86,25.11,11.97,14.7,0,0,19157,70.65,2.29,27.47,34.87,8.36,11.19,23440,9210,10689,4548,6947,20000,4989,5067,2689,23.02,19.73,41.2,11.11,8.51,53.98,16.21,25.88,19.92,17.54,9.2,21.96,11.64,10.51,3.17,75.23,70.05,77.81,67.66,59.72,65.79,200,1.79,298,2.68,9.06,20.81,23.49,0.07,0.23,0.52,0.58,75.44,1.76,6.79,4.78,2.58,2.57,2.62,65.95,6.25,54.98,2,721,86.35,66.37,4.85,55.2,1956,13.7,0.64,15700,27200,44000,28300,125,198,259,134,282,27.9,18.6,13.6,0,0,2.49,84.15,53.48,79.79,96.69,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,9,1329.7,0.58,?,?,?,?,0,?,1,8.19,7,57.36,9,73.75,97,794.82,214,1753.52,451,3695.51,30,245.82,5,40.97,934.12,5735.82
Portsmouthcity,NH,15,62900,1,25925,2.51,4.6,92.63,1.72,2,11.14,31.18,13.86,10.56,25925,100,30591,81.43,0.27,48.5,22.76,4.68,18.47,34344,15557,16023,9962,13228,8918,9553,10589,1659,6.68,3.63,11.2,26.55,5.12,69.93,14.9,21.93,9.61,31.3,10.7,34.38,14.26,12.53,2.99,75.93,75.06,82.78,76.76,67.76,75.1,286,1.69,1047,8.98,14.14,24.64,30.47,0.36,0.57,1,1.23,93.41,0.8,2.87,1.8,2.39,2.44,2.35,42.77,1.7,57.38,2,1040,90.85,41.88,2.5,44.33,1950,2.85,0.36,110300,137600,168500,58200,390,497,623,233,553,26.4,23.7,13.8,65,0,4.04,32.62,39.91,59.25,64.89,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,16.2,1602.6,0.99,?,?,?,?,0,?,0,0,31,148.32,14,66.98,34,162.67,171,818.14,701,3353.91,70,334.91,9,43.06,377.97,4550.02
Hulltown,MA,23,31645,1,10466,2.76,0.89,98.1,0.64,1.08,12.65,27.85,12.66,9.99,10466,100,37683,82.3,0.16,37.59,23.68,7.14,13.67,42734,16907,17090,9295,26321,10134,930,6835,838,8.02,3.69,14.63,19.66,7.31,65.59,11.39,22.02,11.41,29.52,10.51,36.62,14.04,12.32,3.24,70.43,67.48,89.89,69.84,50.68,65.72,213,2.85,564,3.72,8.33,15.6,23.58,0.2,0.45,0.84,1.27,91.99,1.02,7.07,5.1,2.73,2.85,2.5,69.74,1.21,37.96,3,1468,72.07,66.9,13.56,56.4,1945,1.11,1.2,125900,152800,192200,66300,509,658,842,333,797,29.4,24,12.9,56,0,5.39,78.48,59.52,74.64,92.12,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,3.1,3397.6,8.66,?,?,?,?,0,?,0,0,6,53.92,0,0,93,835.73,105,943.57,101,907.62,18,161.75,3,26.96,889.65,2039.9
Scotttownship,PA,3,68388,1,17118,2.29,0.59,97.87,1.37,0.55,8.93,23.8,10.63,16.44,17118,100,34644,78.61,0.83,63.01,30.83,2.46,20.56,42345,18380,17805,13019,1750,57759,5100,17215,687,4.13,6.29,16.84,29.72,3.05,63.85,10.36,27.88,7.48,36.25,6.63,31.24,8.77,7.8,2.89,83.2,82.4,93.88,78.67,66.07,71.98,94,0.77,526,6.27,10.27,19.39,23.38,0.19,0.32,0.6,0.72,93.6,0.48,1.83,1.12,2.23,2.46,1.73,74.91,0.64,49.13,3,323,95.86,67.78,0.31,30.03,1958,0.62,0.14,55000,69000,87800,32800,359,465,547,188,520,21.6,19.7,13.6,0,0,3.07,84.64,61.22,88.89,94.24,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,4.1,4180.8,11.76,?,?,?,?,0,?,1,5.74,1,5.74,2,11.49,3,17.23,62,356.12,176,1010.91,47,269.96,3,17.23,40.21,1654.22
Pittsfieldtownship,MI,161,64560,1,17668,2.52,16.58,78.17,4.04,2.1,12.19,38.26,18.04,4.7,12456,70.5,34639,90.23,0.49,42.93,10.11,3.63,7.36,45597,16936,17590,14319,18757,15891,10425,11734,1522,9.33,3.49,12.12,38.51,3.78,71.33,19.48,35.05,6.88,38.1,9.89,42.59,12.66,11.31,3.01,74.43,73.64,85.57,76.42,65.42,73.58,519,5.53,1450,23.72,31.93,38.07,49.79,1.95,2.62,3.12,4.09,88.94,0.93,3.71,2.15,2.33,2.95,1.93,50.21,2.54,66.88,2,774,90.07,39.76,0.13,26.49,1975,2.34,0,94300,118800,147400,53100,471,531,595,124,585,24.5,21.8,14,0,0,8.21,60.66,29.96,60.74,81.92,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,29.1,606.6,2.48,?,?,?,?,0,?,0,0,?,?,43,236.86,50,275.42,256,1410.16,1203,6626.64,103,567.37,7,38.56,?,8642.72
Duncanvillecity,TX,?,?,1,35748,2.86,12.06,82.54,2.14,6.65,16.21,26.78,12.34,6.32,35748,100,41028,88.18,1.02,46.43,16.44,2.52,12.66,46108,17060,17853,12576,18319,17993,12205,11526,1343,3.78,3.75,12.99,29.02,4.57,72.16,13.67,22.5,10.66,32.53,8.16,24.47,13.94,11.2,3.22,78.22,76.06,86.43,76.93,62.9,73.78,437,1.81,1211,5.95,11.31,25.85,37.74,0.2,0.38,0.88,1.28,92.84,0.56,4.24,3.42,2.85,2.96,2.62,70.39,3.35,27.98,3,849,93.64,67.72,0.59,24.62,1975,1.87,0.18,65300,86200,117500,52200,349,456,553,204,529,26.2,19.9,11.3,0,0,3.39,63.45,52.65,83.13,91.59,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,11.7,3057.5,0.89,?,?,?,?,0,?,0,0,19,51.17,56,150.83,98,263.95,414,1115.06,1188,3199.74,262,705.67,16,43.09,465.96,5063.56
Mexicocity,MO,?,?,1,11290,2.46,9.4,89.79,0.46,0.42,12.46,22.35,10.15,19.43,0,0,23744,68.16,2.2,39.67,38.89,8.81,19.86,29171,12249,12818,6661,8590,21754,0,5101,1560,14.35,15.1,30.01,13.93,4.48,55.04,21.38,28.97,18.04,24.52,9.36,21.41,11.56,10.57,2.91,71.5,69.43,79.65,78.06,65.7,77.08,211,2.12,98,17.35,21.43,21.43,21.43,0.15,0.19,0.19,0.19,97.76,0.13,3.16,2.18,2.35,2.38,2.29,68.71,1.63,51.98,2,431,91.41,67.81,1.86,50.58,1958,7.3,0.28,25900,38300,55900,30000,118,193,252,134,285,25.8,14.5,12,0,0,0.87,81.96,56.53,82.64,93.14,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,10.3,1098.7,0.63,?,?,?,?,0,?,1,8.83,1,8.83,3,26.48,12,105.91,75,661.96,180,1588.7,10,88.26,0,0,150.04,2338.92
NewProvidenceborough,NJ,39,51810,1,11439,2.7,0.54,94.18,4.9,2.7,9.9,21.33,10.02,12.28,11439,100,62420,84.14,0.96,70.06,25.1,2.04,18.5,70618,29773,30089,43680,7250,26588,12518,16825,278,2.45,4.91,9.49,48.6,2.71,69.32,12.85,24.24,4.86,43.97,4.13,26.68,7.31,5.8,3.1,90.92,90.33,93.16,88.69,56.45,66.83,32,0.38,1431,11.04,14.81,24.18,28.65,1.38,1.85,3.02,3.58,85.44,1.23,3.2,2.45,2.68,2.87,2.06,81.13,0.64,25.71,3,84,98.06,75.52,1.19,38.1,1957,0.52,0.58,205800,246400,295300,89500,607,702,959,352,757,24.9,21.2,12.7,0,0,12.51,52.16,65.66,79.06,90.11,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,3.8,3001.1,7.98,?,?,?,?,0,?,0,0,0,0,3,24.78,3,24.78,12,99.12,93,768.21,18,148.69,2,16.52,49.56,1032.55
Barnstabletown,MA,1,3635,1,40949,2.47,2.7,94.53,0.7,1.71,10.8,21.74,10.33,18.13,34156,83.39,33411,70.54,0.81,40.18,34.53,5.68,22.03,40299,17376,17706,13168,15024,7154,10329,8807,2711,6.78,2.92,11.27,28.3,7.22,57,9.39,21.91,9.22,28.85,8.97,27.98,12.63,10.93,2.89,71.82,71.66,77.79,74.63,61.24,68.72,609,1.87,2264,16.17,24.91,29.46,31.8,0.89,1.38,1.63,1.76,91.53,1.06,3.41,2.43,2.4,2.47,2.23,72.88,1.46,37.53,3,6769,71.04,70.86,0.96,45.5,1973,1.71,0.3,128400,160000,221000,92600,419,575,689,270,673,31.8,26.1,14.2,273,6,5.53,67.37,52.01,78.56,89.51,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,62.2,658.2,1.18,?,?,?,?,0,?,2,4.67,22,51.39,29,67.74,723,1688.82,609,1422.53,666,1555.67,128,298.99,0,0,1812.62,3277.2
Rutherfordborough,NJ,3,65280,1,17790,2.66,3.01,89.39,6.45,5.78,13.83,26.56,14.04,14.38,17790,100,46499,79.61,0.47,61.29,33.05,2.85,18.89,55878,20579,21350,13332,0,14364,14682,16028,637,3.68,7.01,16.92,32.44,4.17,62.97,15.59,22.68,8.9,35.29,5.77,35.32,8.77,7.38,3.17,84.36,83.65,90.18,90.84,57.16,69.23,156,1.33,2857,16.94,22.23,30.1,34.93,2.72,3.57,4.83,5.61,80.05,3.21,5.08,3.55,2.59,2.84,2.05,74.78,2,45.19,3,536,92.58,68.15,2.99,42.16,1939,1.09,0.14,181000,206200,241300,60300,489,618,732,243,681,24.9,21.6,15.6,5,0,16.06,60.14,68.6,79.74,88.58,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2.9,6118.4,18.82,?,?,?,?,0,?,0,0,2,11.23,5,28.07,16,89.83,50,280.71,246,1381.09,75,421.06,2,11.23,129.13,2094.09
Portlandcity,OR,?,?,1,437319,2.34,7.67,84.64,5.3,3.17,11.86,25.57,12.29,12.83,437398,100,25592,75.66,0.75,43.45,26.59,6.9,15.46,32424,14478,15527,8075,8653,9400,8390,8147,62058,14.53,5.62,17.1,25.95,6.16,62.61,15.11,26.06,14.43,29.23,14.55,35.03,17.45,16.07,2.96,66.43,63.51,76.28,67.2,61.73,70.4,11790,3.97,33601,22.36,29.91,38.56,50.21,1.72,2.3,2.96,3.86,90.01,2.17,5,2.88,2.27,2.47,2.05,57.6,3.49,56.17,2,11100,94.4,52.98,5.5,30.54,1947,4.47,0.64,44500,59200,83300,38800,269,340,418,149,397,25.8,20.2,14.3,1553,149,7.68,47.82,46,76.24,85.35,769,167.68,684,149.14,325000,70864.3,422.6,167.7,91.4,92.46,3.12,1.95,1.69,6.76,37,9,130,129.1,3386.2,11.41,345,58562444,88.95,5,4.81,127691.9,58,12.65,479,104.44,2305,502.59,5603,1221.7,7845,1710.56,27016,5890.68,8459,1844.43,604,131.7,1841.38,9577.37
Manassascity,VA,683,48952,1,27957,2.95,10.33,83.46,3.1,5.73,13.21,31.92,14.16,4.39,27957,100,46674,92.92,0.47,41.6,9.66,3.24,11.41,51045,18554,19553,13169,31782,14049,11564,14063,1028,3.79,6.16,15.79,25.82,3.3,77.22,6.84,18.85,10.09,32.1,9.75,29.75,12.3,11,3.27,81.33,79.06,88.45,79.22,65.68,74.66,474,2.8,2129,12.54,28.79,41.94,58.85,0.96,2.19,3.19,4.48,89.45,2.59,6.1,4.66,2.88,2.95,2.74,67.75,3.13,32.6,3,751,92.66,66.11,1.46,21.3,1981,4.11,0.51,116600,150700,185400,68800,522,603,693,171,695,25.5,25.3,13.7,7,0,7.62,37.57,29.6,47.71,74.55,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,10.4,2695.4,1,?,?,?,?,0,?,0,0,10,31.06,55,170.84,32,99.4,141,437.98,1067,3314.39,86,267.14,6,18.64,301.31,4038.14
Torrancecity,CA,?,?,1,133107,2.53,1.45,72.98,21.86,10.07,11.6,25.37,11.61,10.78,133107,100,47204,82.7,0.67,51.28,20.54,4.3,14.75,55678,22095,23111,23117,21263,19955,13172,14736,6791,5.15,3.85,12.38,31.23,3.95,67.04,25.49,18.92,6.72,37.65,9.77,32.32,13.42,11.64,3.04,79.26,77.43,92.28,78.84,57.54,66.06,1217,1.37,29516,22.23,32.19,43.13,51.23,4.93,7.14,9.56,11.36,72.79,5.83,4.13,2.82,2.51,2.7,2.27,60.49,6.41,52.31,2,2312,95.79,56.29,1.56,16.65,1961,1.2,0.27,272900,340000,420200,147300,610,740,935,325,795,26.9,23.1,11.2,0,18,22.17,41.72,49.81,82.48,85.95,194,139.65,187,134.62,64800,46647.6,334,139.7,82.16,90.21,1.55,5.67,2.06,9.28,8,8,292.5,21.3,6260.9,1.53,100,23400000,96.39,10,4.12,168449.5,12,8.64,30,21.6,430,309.54,390,280.75,1582,1138.83,4096,2948.59,1704,1226.66,54,38.87,620.53,5352.95
SouthJordancity,UT,?,?,1,12220,4.32,0.06,98.01,0.86,2.06,21.23,28.04,12.06,3.71,12220,100,43804,90.99,2.87,42.37,13.46,3.16,11.56,45205,10626,10712,0,13712,10702,2725,6068,392,3.21,1.7,9.1,22.85,3.21,70.81,14.63,22.76,11.33,29.15,3.1,26.33,5.09,4.1,4.5,93.07,91.5,97.66,94.24,49.8,62.54,45,0.44,146,0,0,0,4.79,0,0,0,0.06,96.76,0.84,31.58,29.55,4.32,4.38,3.72,92.3,4.84,12.48,4,56,98.06,91.06,7.14,60.71,1979,0.6,0.42,78000,93900,118500,40500,257,367,544,287,512,21.7,23.3,12.8,0,0,1.19,75.24,51.42,88.33,92.45,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,20.9,585.8,1.27,?,?,?,?,0,?,0,0,2,11.57,3,17.35,28,161.92,126,728.66,399,2307.43,46,266.02,0,0,190.84,3302.11
RedwoodCitycity,CA,?,?,1,66072,2.59,3.64,82.76,6.32,24.12,11.09,27.2,12.24,10.46,66072,100,42962,81.45,0.5,49.19,21.07,5.3,14.76,49851,20292,21670,12013,10809,19598,9281,9950,5328,8.3,8.12,18.45,27.09,3.82,69.14,16.31,21.5,10.24,29.66,11.56,35,15.3,13.43,3.08,72.39,69.83,83.7,74.85,70.99,73.54,1394,3.48,15722,18.78,29.78,41.39,51.48,4.47,7.09,9.85,12.25,69.2,7.86,7.25,4.67,2.52,2.54,2.51,51.04,10.47,61.71,2,1354,94.96,50.78,0.59,15.81,1961,1.85,0.58,274700,349500,442200,167500,558,670,883,325,728,28.6,28.2,12,91,125,23.8,50.11,46.52,77.2,88.9,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,19.7,3349.1,3.85,?,?,?,?,0,?,3,4.4,15,22.02,106,155.59,371,544.58,513,753.02,1876,2753.72,453,664.94,2,2.94,726.59,4174.62
Lancastertownship,PA,71,41224,1,13187,2.47,3.03,93.76,1.36,3.4,10.16,23.25,10.96,18.77,12895,97.79,35855,76.78,0.32,61.86,30.74,4.14,21.23,42245,18645,19257,11353,0,6595,9899,9070,771,6.27,10.36,21.66,27.84,3.31,62.15,22.62,29.11,14.22,32.72,8.14,24.65,10.71,9.55,2.81,77.84,75.4,85.65,73.14,70.99,75.28,169,1.77,696,15.52,25.43,30.17,37.79,0.82,1.34,1.59,1.99,89.75,0.76,2.85,1.89,2.32,2.57,1.95,65.72,1.16,40.69,3,199,96.4,59.31,0.5,25.63,1961,0.41,0.09,70700,92700,140300,69600,403,458,535,132,534,25.1,20.2,11.7,0,0,5.28,74.75,49.01,82.92,89.32,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,6.3,2104.5,1.68,?,?,?,?,0,?,0,0,0,0,7,52.19,3,22.37,79,589.02,307,2288.99,38,283.33,3,22.37,74.56,3183.72
Algonquinvillage,IL,?,?,1,11663,3.01,0.17,98.04,1.29,1.73,11.76,23.99,9.12,4.82,11705,100,53665,94.1,1.08,57.19,13.23,0.18,9.95,55955,19255,19257,21002,900,26681,17642,14413,193,1.65,1.77,9.45,32.89,2.29,75.69,21.62,17.69,9.29,33.16,5.53,20.64,6.77,6.16,3.32,92.11,91.8,98.59,88.86,53,60.18,34,0.48,528,0.95,6.63,11.17,16.86,0.04,0.3,0.51,0.76,93.59,0.26,3.95,3.33,3.01,3.11,2.15,92.43,0.93,20,3,100,97.48,89.42,2,31,1980,0.93,0.28,109900,133300,160300,50400,399,472,581,182,527,20.5,23.9,13.5,0,0,4.51,70.13,43.22,55.18,90.13,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,5.4,2148.7,3.2,?,?,?,?,0,?,0,0,?,?,2,15.21,7,53.23,46,349.81,201,1528.52,5,38.02,6,45.63,?,1961.98
Sebastiancity,FL,?,?,1,10205,2.46,1.06,97.38,1.04,1.79,9.62,18.03,7.64,23.89,0,0,26654,63.11,0.41,40.44,45.95,3.65,31.45,29464,12165,12077,4231,13612,17931,15112,9763,684,6.77,7.04,26.53,9.91,5.66,48.43,8.22,19.42,13.47,20.69,8.33,15.28,9.77,9.08,2.74,80.47,75.83,89.36,82,62.3,69.76,145,1.68,559,2.5,5.72,10.2,17.35,0.14,0.31,0.56,0.95,94.06,0.44,2.39,1.91,2.46,2.37,2.89,79.15,1.88,52.66,2,467,89.87,82.22,0.21,25.05,1984,3.16,0.2,56300,68700,87100,30800,394,449,508,114,557,25.8,22.2,11.5,0,0,5.5,22.88,32.16,52.33,71.28,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,13,785.2,0,?,?,?,?,0,?,0,0,2,17,1,8.5,37,314.47,151,1283.36,277,2354.24,12,101.99,0,0,339.96,3739.59
GrandForkscity,ND,35,32060,1,49425,2.67,0.8,95.49,1.07,1.19,20.6,38.87,24.1,7.87,49425,100,25456,83.71,2.25,45.03,18.9,4.64,9.83,32417,11902,12096,10578,6096,9944,5528,6559,6526,14.48,7.24,14.24,29.28,5.08,66.75,6.38,35.22,11.28,30.59,6.77,43.87,9.78,8.28,3.07,75.26,76.33,83.86,78.54,73.58,77.17,629,1.95,1112,33.63,42.9,48.38,54.23,0.76,0.97,1.09,1.22,94.35,0.3,3.6,2.32,2.43,2.84,2.04,56.93,1.98,57.07,2,1058,94.6,48.71,0.85,20.51,1968,2.77,0.45,50800,64700,81800,31000,234,320,391,157,367,26.1,20.5,12.1,70,0,2.25,62.7,41.07,66.59,80.46,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,15,3304.7,0.95,?,?,?,?,0,?,0,0,19,37.7,14,27.78,28,55.55,234,464.26,2202,4368.79,195,386.88,14,27.78,121.02,5247.7
NewHaventown,CT,9,52070,1,130474,2.66,36.14,53.85,2.41,13.22,17.06,34.55,19.17,10.81,130474,100,25811,73.04,0.47,37.07,26.28,14.61,12.75,31163,12968,16127,9616,7750,11739,7014,7420,25481,21.29,11.86,28.97,26.7,9.25,56.71,16.41,37.38,14.02,30,10.37,50.43,14.2,12.44,3.16,45.44,38.63,53.9,44.87,50.49,60.14,12972,15.07,10633,23.59,31.16,38.39,46.52,1.92,2.54,3.13,3.79,79.35,3.93,7.07,4.13,2.41,2.65,2.3,34.96,4.9,67.53,2,5071,90.62,31.78,10.18,32.97,1943,7.53,0.49,110400,145000,189200,78800,332,487,594,262,568,30,23.5,14.9,1344,16,8.15,53.51,45.53,77.29,81.55,390,326.08,350,292.63,145000,121233.4,371.8,326.1,74.62,79.23,17.44,3.33,0,20.77,12,10,167.4,19.5,6679.9,9.54,100,17939552,89.74,5,3.08,149991.2,22,18.39,130,108.69,1238,1035.08,1154,964.85,3417,2856.93,7719,6453.8,1873,1566,134,112.04,2127.02,10988.76
Westwegocity,LA,?,?,1,11218,2.66,15.59,81.67,0.71,2.79,14.22,27.88,13.45,11.26,11218,100,18095,71.79,0.87,19.06,30.37,11.22,15.66,20562,8262,8966,4834,6901,6501,6046,8315,2657,23.81,28.57,49.27,4.01,8.37,50.95,17.54,15.03,23.14,10.8,13.93,26.11,15.86,14.97,3.18,62.04,55.69,84.79,53.04,43.75,50.26,517,4.92,224,8.48,31.7,41.96,53.57,0.17,0.63,0.84,1.07,87.22,1.1,6,4.34,2.66,2.66,2.66,56.69,6.76,58.36,2,474,89.89,56.62,10.97,63.08,1959,7.66,1,37400,49000,64400,27000,180,259,314,134,316,27.3,22.5,12.9,0,0,2,88.58,54.89,93.77,97.9,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,3.3,3399.4,1.19,?,?,?,?,0,?,0,0,4,36.38,34,309.2,51,463.81,142,1291.38,440,4001.46,144,1309.57,2,18.19,809.39,6620.59
